iter	Passed	Remaining
0	153	45992
1	161	24043
2	169	16762
3	176	13075
4	183	10841
5	191	9380
6	200	8383
7	207	7590
8	215	6983
9	223	6481
10	231	6079
11	238	5726
12	246	5435
13	254	5204
14	261	4972
15	270	4809
16	277	4626
17	287	4503
18	294	4361
19	302	4231
20	309	4113
21	318	4028
22	327	3947
23	335	3862
24	345	3798
25	353	3730
26	364	3682
27	372	3618
28	383	3581
29	394	3546
30	406	3523
31	416	3485
32	427	3455
33	436	3412
34	447	3390
35	456	3345
36	464	3304
37	473	3264
38	481	3223
39	493	3204
40	500	3161
41	510	3138
42	519	3107
43	528	3074
44	538	3051
45	547	3023
46	557	3000
47	566	2972
48	574	2944
49	589	2945
50	602	2939
51	615	2935
52	632	2949
53	646	2943
54	656	2926
55	671	2923
56	686	2926
57	698	2915
58	710	2902
59	720	2883
60	736	2884
61	748	2875
62	761	2864
63	769	2837
64	780	2820
65	787	2792
66	797	2774
67	804	2746
68	814	2727
69	822	2703
70	833	2687
71	840	2660
72	848	2638
73	857	2617
74	868	2605
75	883	2602
76	894	2589
77	902	2569
78	913	2556
79	922	2537
80	932	2522
81	943	2509
82	952	2490
83	964	2480
84	978	2475
85	991	2467
86	1002	2454
87	1014	2444
88	1030	2444
89	1059	2471
90	1088	2500
91	1115	2521
92	1142	2542
93	1160	2542
94	1175	2536
95	1189	2528
96	1203	2518
97	1214	2503
98	1228	2493
99	1241	2482
100	1256	2475
101	1269	2463
102	1282	2453
103	1292	2435
104	1304	2423
105	1315	2408
106	1325	2389
107	1336	2376
108	1349	2365
109	1360	2350
110	1373	2338
111	1387	2329
112	1399	2316
113	1411	2303
114	1425	2293
115	1436	2278
116	1447	2264
117	1458	2250
118	1476	2245
119	1490	2235
120	1501	2221
121	1515	2211
122	1525	2195
123	1535	2179
124	1548	2168
125	1558	2152
126	1567	2135
127	1578	2120
128	1588	2105
129	1599	2091
130	1609	2076
131	1621	2063
132	1631	2048
133	1640	2032
134	1648	2014
135	1656	1997
136	1665	1981
137	1673	1964
138	1680	1946
139	1687	1928
140	1695	1912
141	1704	1896
142	1712	1880
143	1722	1865
144	1730	1849
145	1739	1834
146	1746	1818
147	1756	1803
148	1764	1788
149	1774	1774
150	1782	1759
151	1792	1745
152	1800	1729
153	1809	1715
154	1817	1700
155	1826	1685
156	1834	1671
157	1844	1658
158	1861	1650
159	1877	1642
160	1894	1635
161	1907	1624
162	1920	1613
163	1938	1607
164	1948	1593
165	1963	1585
166	1976	1574
167	1993	1566
168	2016	1563
169	2027	1550
170	2039	1538
171	2049	1524
172	2056	1509
173	2067	1496
174	2076	1482
175	2085	1469
176	2093	1454
177	2102	1440
178	2110	1426
179	2118	1412
180	2127	1398
181	2136	1385
182	2146	1372
183	2158	1360
184	2168	1348
185	2180	1336
186	2193	1325
187	2202	1311
188	2213	1300
189	2223	1287
190	2232	1273
191	2243	1261
192	2255	1250
193	2266	1238
194	2276	1226
195	2286	1213
196	2296	1200
197	2308	1189
198	2317	1176
199	2327	1163
200	2334	1150
201	2343	1137
202	2350	1123
203	2358	1110
204	2366	1096
205	2375	1083
206	2382	1070
207	2391	1057
208	2398	1044
209	2406	1031
210	2414	1018
211	2423	1005
212	2429	992
213	2441	980
214	2448	968
215	2455	955
216	2463	942
217	2478	932
218	2488	920
219	2506	911
220	2514	898
221	2522	886
222	2531	874
223	2540	861
224	2549	849
225	2559	838
226	2570	826
227	2578	814
228	2587	802
229	2597	790
230	2606	778
231	2616	766
232	2624	754
233	2635	743
234	2644	731
235	2652	719
236	2661	707
237	2670	695
238	2680	684
239	2688	672
240	2698	660
241	2706	648
242	2716	637
243	2725	625
244	2735	614
245	2746	602
246	2755	591
247	2764	579
248	2771	567
249	2780	556
250	2787	544
251	2796	532
252	2804	521
253	2813	509
254	2821	497
255	2829	486
256	2838	474
257	2860	465
258	2872	454
259	2879	443
260	2889	431
261	2897	420
262	2907	409
263	2921	398
264	2931	387
265	2943	376
266	2953	365
267	2962	353
268	2972	342
269	2980	331
270	2990	320
271	3001	308
272	3011	297
273	3021	286
274	3029	275
275	3039	264
276	3050	253
277	3060	242
278	3073	231
279	3082	220
280	3090	208
281	3100	197
282	3109	186
283	3130	176
284	3149	165
285	3170	155
286	3183	144
287	3198	133
288	3207	122
289	3224	111
290	3243	100
291	3262	89
292	3276	78
293	3295	67
294	3312	56
295	3328	44
296	3341	33
297	3357	22
298	3368	11
299	3384	0
