match_id,date,league,home_recent_wins,home_recent_draws,home_recent_losses,home_recent_goals_for,home_recent_goals_against,home_recent_form_points,away_recent_wins,away_recent_draws,away_recent_losses,away_recent_goals_for,away_recent_goals_against,away_recent_form_points,h2h_home_wins,h2h_draws,h2h_away_wins,home_avg_goals,home_total_matches,away_avg_goals,away_total_matches,total_goals,over_2_5,btts,home_win,draw,away_win
1905,2020-09-13,PD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,2,0,1,0,1,0
1906,2020-09-13,PD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,2,0,1,0,1,0
1907,2020-09-13,PD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,6,1,1,1,0,0
7,2020-09-14,PL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,4,1,1,0,0,1
8,2020-09-14,PL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,2,0,0,0,0,1
3801,2020-09-18,BL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,8,1,0,1,0,0
9,2020-09-19,PL,1,0,0,1,0,3,0,0,1,0,3,0,0,0,0,0.0,0,0.0,0,7,1,1,1,0,0
10,2020-09-19,PL,0,0,1,3,4,0,0,0,1,0,3,0,0,0,0,0.0,0,0.0,0,7,1,1,1,0,0
11,2020-09-19,PL,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0.0,0,0.0,0,4,1,1,0,0,1
12,2020-09-19,PL,1,0,0,3,0,3,0,0,1,0,2,0,0,0,0,0.0,0,0.0,0,3,1,1,1,0,0
1908,2020-09-19,PD,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0.0,0,0.0,0,3,1,1,1,0,0
1909,2020-09-19,PD,0,0,0,0,0,0,1,0,0,2,0,3,0,0,0,0.0,0,0.0,0,1,0,0,1,0,0
1910,2020-09-19,PD,0,1,0,0,0,1,1,0,0,4,2,3,0,0,0,0.0,0,0.0,0,3,1,1,1,0,0
3802,2020-09-19,BL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,2,0,1,0,1,0
3803,2020-09-19,BL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,5,1,1,0,0,1
3804,2020-09-19,BL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,5,1,1,0,0,1
3805,2020-09-19,BL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,4,1,1,0,0,1
3806,2020-09-19,BL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,5,1,1,0,0,1
3807,2020-09-19,BL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,3,1,0,1,0,0
13,2020-09-20,PL,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0.0,0,0.0,0,7,1,1,0,0,1
14,2020-09-20,PL,1,0,0,2,0,3,0,0,1,1,3,0,0,0,0,0.0,0,0.0,0,3,1,0,0,0,1
15,2020-09-20,PL,1,0,0,3,1,3,1,0,0,4,3,3,0,0,0,0.0,0,0.0,0,2,0,0,0,0,1
16,2020-09-20,PL,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,6,1,1,1,0,0
1911,2020-09-20,PD,0,1,0,1,1,1,0,0,1,0,2,0,0,0,0,0.0,0,0.0,0,2,0,0,0,0,1
1912,2020-09-20,PD,1,0,0,1,0,3,0,1,0,1,1,1,0,0,0,0.0,0,0.0,0,2,0,0,1,0,0
1913,2020-09-20,PD,1,0,0,2,0,3,0,0,1,0,1,0,0,0,0,0.0,0,0.0,0,3,1,1,1,0,0
1914,2020-09-20,PD,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,1,0
3808,2020-09-20,BL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,4,1,1,1,0,0
3809,2020-09-20,BL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,1,0
17,2020-09-21,PL,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0.0,0,0.0,0,1,0,0,1,0,0
18,2020-09-21,PL,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,4,1,1,0,0,1
3810,2020-09-25,BL1,1,0,0,4,1,3,0,1,0,1,1,1,0,0,0,0.0,0,0.0,0,4,1,1,0,0,1
19,2020-09-26,PL,1,0,1,4,3,3,0,0,1,1,3,0,0,0,0,0.0,0,0.0,0,5,1,1,0,0,1
20,2020-09-26,PL,2,0,0,4,1,6,2,0,0,6,2,6,0,0,0,0.0,0,0.0,0,3,1,1,0,0,1
21,2020-09-26,PL,0,0,2,2,8,0,1,0,1,3,3,3,0,0,0,0.0,0,0.0,0,6,1,1,0,1,0
22,2020-09-26,PL,0,0,1,2,4,0,0,0,2,2,6,0,0,0,0,0.0,0,0.0,0,1,0,0,0,0,1
1915,2020-09-26,PD,0,0,2,1,3,0,1,0,0,1,0,3,0,0,0,0.0,0,0.0,0,0,0,0,0,1,0
1916,2020-09-26,PD,1,0,1,5,4,3,0,1,1,1,3,1,0,0,0,0.0,0,0.0,0,2,0,1,0,1,0
1917,2020-09-26,PD,0,0,0,0,0,0,0,2,0,1,1,2,0,0,0,0.0,0,0.0,0,3,1,0,0,0,1
1918,2020-09-26,PD,2,0,0,3,0,6,0,1,0,0,0,1,0,0,0,0.0,0,0.0,0,5,1,1,0,0,1
3811,2020-09-26,BL1,1,0,0,3,1,3,1,0,0,3,0,3,0,0,0,0.0,0,0.0,0,2,0,0,1,0,0
3812,2020-09-26,BL1,0,1,0,1,1,1,0,0,1,2,3,0,0,0,0,0.0,0,0.0,0,1,0,0,1,0,0
3813,2020-09-26,BL1,0,1,0,0,0,1,1,0,0,3,1,3,0,0,0,0.0,0,0.0,0,2,0,1,0,1,0
3814,2020-09-26,BL1,0,0,1,1,3,0,0,0,1,2,3,0,0,0,0,0.0,0,0.0,0,5,1,1,0,0,1
3815,2020-09-26,BL1,0,0,1,0,3,0,0,0,1,1,3,0,0,0,0,0.0,0,0.0,0,2,0,1,0,1,0
3816,2020-09-26,BL1,0,0,1,0,8,0,0,0,1,1,4,0,0,0,0,0.0,0,0.0,0,4,1,1,0,0,1
23,2020-09-27,PL,0,0,2,0,3,0,1,0,1,7,7,3,0,0,0,0.0,0,0.0,0,1,0,0,0,0,1
24,2020-09-27,PL,1,0,1,5,3,3,1,0,1,2,3,3,0,0,0,0.0,0,0.0,0,2,0,1,0,1,0
25,2020-09-27,PL,1,0,0,3,1,3,2,0,0,7,2,6,0,0,0,0.0,0,0.0,0,7,1,1,0,0,1
26,2020-09-27,PL,0,0,2,1,4,0,1,0,1,3,3,3,0,0,0,0.0,0,0.0,0,4,1,0,1,0,0
1919,2020-09-27,PD,1,0,1,2,1,3,0,0,1,2,4,0,0,0,0,0.0,0,0.0,0,4,1,1,0,0,1
1920,2020-09-27,PD,0,1,1,1,2,1,0,0,1,0,2,0,0,0,0,0.0,0,0.0,0,3,1,1,0,0,1
1921,2020-09-27,PD,0,0,0,0,0,0,2,0,0,4,1,6,0,0,0,0.0,0,0.0,0,7,1,1,1,0,0
1922,2020-09-27,PD,1,0,1,2,2,3,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,4,1,1,0,0,1
1923,2020-09-27,PD,0,1,1,1,3,1,1,1,0,2,1,4,0,0,0,0.0,0,0.0,0,2,0,1,0,1,0
1924,2020-09-27,PD,0,0,0,0,0,0,1,1,0,3,2,4,0,0,0,0.0,0,0.0,0,4,1,0,1,0,0
3817,2020-09-27,BL1,1,0,0,3,2,3,1,0,0,8,0,3,0,0,0,0.0,0,0.0,0,5,1,1,1,0,0
3818,2020-09-27,BL1,1,0,0,3,2,3,0,1,0,0,0,1,0,0,0,0.0,0,0.0,0,2,0,1,0,1,0
27,2020-09-28,PL,0,0,2,3,7,0,1,0,0,1,0,3,0,0,0,0.0,0,0.0,0,3,1,0,0,0,1
28,2020-09-28,PL,2,0,0,6,3,6,2,0,0,5,1,6,0,0,0,0.0,0,0.0,0,4,1,1,1,0,0
1925,2020-09-29,PD,1,2,0,4,1,5,1,1,1,6,5,4,0,0,0,0.0,0,0.0,0,1,0,0,0,0,1
1926,2020-09-29,PD,1,1,0,1,0,4,2,0,1,5,3,6,0,0,0,0.0,0,0.0,0,3,1,0,1,0,0
1927,2020-09-30,PD,0,2,1,2,4,2,1,0,0,6,1,3,0,0,0,0.0,0,0.0,0,0,0,0,0,1,0
1928,2020-09-30,PD,1,1,1,3,6,4,0,1,2,1,3,1,0,0,0,0.0,0,0.0,0,4,1,1,1,0,0
1929,2020-09-30,PD,0,1,2,2,4,1,0,0,1,0,3,0,0,0,0,0.0,0,0.0,0,1,0,0,0,0,1
1930,2020-09-30,PD,1,1,0,3,2,4,0,2,1,2,4,2,0,0,0,0.0,0,0.0,0,1,0,0,1,0,0
1931,2020-10-01,PD,1,0,1,2,3,3,1,0,2,3,5,3,0,0,0,0.0,0,0.0,0,1,0,0,0,0,1
