Target,Model,Accuracy_Train,Accuracy_Test,ROC_AUC_Test,Brier_Test,PR_AUC_Test,Precision,Recall,F1
over_2_5,RandomForest,69.1%,54.0%,0.522,0.248,0.561,54.8%,86.0%,0.670
over_2_5,GradientBoosting,56.7%,53.6%,0.499,0.249,0.557,53.9%,98.2%,0.696
btts,RandomForest,54.1%,55.9%,0.502,0.247,0.563,55.9%,100.0%,0.717
btts,GradientBoosting,54.2%,55.9%,0.497,0.247,0.560,55.9%,100.0%,0.717
home_win,RandomForest,69.3%,63.6%,0.672,0.224,0.589,59.2%,50.0%,0.542
home_win,GradientBoosting,72.4%,62.8%,0.656,0.229,0.568,59.0%,44.9%,0.510
draw,RandomForest,74.9%,75.4%,0.534,0.185,0.271,0.0%,0.0%,0.000
draw,GradientBoosting,74.9%,75.4%,0.536,0.185,0.281,0.0%,0.0%,0.000
away_win,RandomForest,73.0%,69.3%,0.685,0.199,0.496,60.8%,13.9%,0.226
away_win,GradientBoosting,70.9%,67.5%,0.665,0.206,0.463,0.0%,0.0%,0.000
